;Nombres
327;miscontrolsm
328;dispossessedm
329;cards_yellow_redm
330;foulsm
331;fouledm
332;offsidesm
333;pens_wonm
334;pens_concededm
335;own_goalsm
336;ball_recoveriesm
337;aerials_wonm
338;aerials_lostm
339;aerials_won_pctm
340;games_gkm
341;games_starts_gkm
342;minutes_gkm
343;goals_against_gkm
344;goals_against_per90_gkm
345;shots_on_target_againstm
346;savesm
347;save_pctm
348;wins_gkm
349;draws_gkm
350;losses_gkm
351;clean_sheetsm
352;clean_sheets_pctm
353;pens_att_gkm
354;pens_allowedm
355;pens_savedm
356;pens_missed_gkm
357;minutes_90s_gkm
358;free_kick_goals_against_gkm
359;corner_kick_goals_against_gkm
360;own_goals_against_gkm
361;psxg_gkm
362;psnpxg_per_shot_on_target_againstm
363;psxg_net_gkm
364;psxg_net_per90_gkm
365;passes_completed_launched_gkm
366;passes_launched_gkm
367;passes_pct_launched_gkm
368;passes_gkm
369;passes_throws_gkm
370;pct_passes_launched_gkm
371;passes_length_avg_gkm
372;goal_kicksm
373;pct_goal_kicks_launchedm
374;goal_kick_length_avgm
375;crosses_gkm
376;crosses_stopped_gkm
377;crosses_stopped_pct_gkm
378;def_actions_outside_pen_area_gkm
379;def_actions_outside_pen_area_per90_gkm
380;avg_distance_def_actions_gkm
381;LgRk
382;MP
383;W
384;D
385;L
386;GF
387;GA
388;GDiff
389;Pts
390;Pts/G
391;xG
392;xGA
393;xGDiff
394;xGDiff/90
395;Attendance
396;CL
397;WinCL
398;CLBestScorer
399;Season
400;Column1
