;column;score
2;minutes;60.40515253808418
3;xg_per90;49.009770357985865
0;position;39.37731391696565
4;shoots_on_t_x_game;38.91665643577685
1;squad;5.556662812636762
6;dribbles_x_game;1.822047648322337
5;passes_x_game;0.9520781924165584
