;MAE;MSE;RMSE;R2_Score
Lineal_reg;1.5395349947928132;6.145911185331955;2.47909483185536;0.5484797351827257
Poly_reg;0.7681136446994709;1.6750781137766864;1.2942480881873792;0.876937415671226
Random_Forest_reg;0.7549895309752401;1.570866354614934;1.2533420740623582;0.8845935173744345
SVM_reg;0.7451101020626857;1.5123094584698604;1.2297599190369886;0.8888955035986095
Gradient_Boosting_reg;0.7841214726736451;1.5670645037787028;1.2518244700351175;0.8848728270885852
Redes_Neur_reg;0.7391626721175835;1.474738587132354;1.214388153405802;0.8916557142922188
