;MAE;MSE;RMSE;R2_Score
Lineal_reg;1.5577086326808367;6.422707156887652;2.53430605035928;0.528144428243136
Poly_reg;0.7350347911144393;1.405183091287636;1.185404188995313;0.8967657321490108
Random_Forest_reg;0.7612171501630243;1.590300125296943;1.2610710230978044;0.8831657809460784
SVM_reg;0.7354537488563221;1.4897864075397893;1.2205680675569837;0.890550199479134
Gradient_Boosting_reg;0.7813058033619452;1.5459498083247591;1.243362299703815;0.8864240556363804
Redes_Neur_reg;0.725693808452681;1.4715133008103174;1.2130594795022696;0.8918926656718146
