;position;squad;minutes;xg_per90;shoots_on_t_x_game;passes_x_game;dribbles_x_game;goals
6708;3;5;1497.0;0.05;0.2631578947368421;3.0;0.15789473684210525;1.0
6709;3;5;90.0;0.02;0.0;7.0;0.0;0.0
6710;3;5;703.0;0.01;0.0;1.6;2.0;0.0
6711;2;5;3420.0;0.19;0.6052631578947368;3.5;0.39473684210526316;5.0
6712;3;5;560.0;0.08;0.375;1.25;0.125;0.0
6714;3;4;1191.0;0.08;0.07142857142857142;1.7142857142857142;0.9285714285714286;1.0
6715;6;4;425.0;0.13;0.2857142857142857;3.142857142857143;0.8571428571428571;0.0
6716;9;4;420.0;0.26;0.5;1.0;1.125;1.0
6717;3;4;2169.0;0.02;0.07142857142857142;2.392857142857143;0.32142857142857145;0.0
6718;8;4;70.0;0.0;0.0;0.0;1.0;0.0
6719;2;4;781.0;0.06;0.2;0.5333333333333333;1.2;2.0
6720;6;4;1122.0;0.05;0.1875;3.25;0.75;1.0
6721;3;4;997.0;0.06;0.13333333333333333;1.3333333333333333;0.13333333333333333;0.0
6722;9;4;1082.0;0.2;0.4;0.45;0.8;2.0
6723;1;4;2110.0;0.1;0.34375;1.125;1.65625;1.0
6724;1;4;421.0;0.02;0.125;1.0;0.625;0.0
6725;9;4;942.0;0.11;0.20833333333333334;0.5833333333333334;0.5833333333333334;1.0
6726;5;4;44.0;0.03;0.0;0.6666666666666666;0.3333333333333333;0.0
6727;3;4;1337.0;0.01;0.058823529411764705;2.7058823529411766;0.7647058823529411;0.0
6728;2;4;115.0;0.07;0.0;0.6666666666666666;0.3333333333333333;0.0
6729;6;4;1409.0;0.15;0.625;3.125;1.6875;2.0
6731;6;4;2798.0;0.04;0.08823529411764706;3.7941176470588234;0.7352941176470589;1.0
6732;8;4;154.0;0.29;0.0;0.0;0.0;0.0
6733;6;4;1750.0;0.11;0.28;2.08;0.52;0.0
6734;9;4;438.0;0.36;0.1;0.2;0.4;0.0
6735;9;4;3032.0;0.38;0.6944444444444444;1.0277777777777777;1.5833333333333333;12.0
6736;3;4;1928.0;0.09;0.2;2.0;1.2;0.0
6737;3;4;853.0;0.05;0.125;1.3125;0.5625;0.0
6738;3;4;344.0;0.0;0.0;1.8571428571428572;0.0;0.0
6740;3;4;1755.0;0.03;0.13043478260869565;2.217391304347826;0.17391304347826086;0.0
6741;6;4;284.0;0.14;0.0;0.8;0.3;0.0
6742;6;4;1400.0;0.01;0.09090909090909091;3.772727272727273;0.2727272727272727;0.0
6743;7;4;1527.0;0.2;0.4074074074074074;1.7037037037037037;1.1481481481481481;3.0
6744;3;4;2898.0;0.01;0.058823529411764705;1.7352941176470589;0.029411764705882353;0.0
6745;9;6;2058.0;0.27;0.6923076923076923;0.5384615384615384;0.5384615384615384;8.0
6746;6;6;1497.0;0.06;0.20833333333333334;2.125;1.3333333333333333;0.0
6747;3;6;691.0;0.02;0.375;6.25;0.5;1.0
6748;3;6;1272.0;0.01;0.0;2.8333333333333335;0.8888888888888888;0.0
6749;6;6;261.0;0.22;0.16666666666666666;1.3333333333333333;0.16666666666666666;0.0
6750;8;6;527.0;0.28;0.5;0.42857142857142855;1.2857142857142858;1.0
6751;1;6;2064.0;0.1;0.24;2.64;0.52;1.0
6752;6;6;1008.0;0.07;0.15384615384615385;2.3076923076923075;0.8461538461538461;1.0
6753;9;6;1.0;0.0;0.0;0.0;0.0;0.0
6754;3;6;1473.0;0.03;0.1111111111111111;2.3333333333333335;0.3333333333333333;1.0
6755;3;6;2043.0;0.13;0.2;3.68;1.72;2.0
6756;6;6;1489.0;0.1;0.45454545454545453;4.045454545454546;0.6818181818181818;2.0
6757;9;6;371.0;0.44;0.2857142857142857;0.14285714285714285;1.2857142857142858;2.0
6758;6;6;247.0;0.28;0.0;4.0;1.0;0.0
6759;3;6;2053.0;0.01;0.08695652173913043;1.0;0.0;1.0
6760;9;6;1047.0;0.48;0.5238095238095238;0.38095238095238093;0.9523809523809523;3.0
6761;3;6;373.0;0.0;0.0;0.8333333333333334;0.16666666666666666;0.0
6763;3;6;1503.0;0.03;0.15789473684210525;3.1578947368421053;1.105263157894737;0.0
6764;6;6;1598.0;0.05;0.043478260869565216;2.260869565217391;0.6521739130434783;0.0
6765;6;6;2072.0;0.26;0.68;2.76;1.12;8.0
6766;6;6;23.0;0.11;0.0;1.0;0.0;0.0
6767;8;6;530.0;0.27;0.29411764705882354;0.4117647058823529;0.9411764705882353;1.0
6768;3;6;2079.0;0.02;0.0625;1.75;1.75;0.0
6769;1;6;1768.0;0.07;0.2962962962962963;1.7407407407407407;1.962962962962963;4.0
6770;6;6;1278.0;0.05;0.1875;2.375;0.8125;0.0
6771;9;6;3008.0;0.51;0.9166666666666666;1.2777777777777777;1.1388888888888888;16.0
6772;7;6;1823.0;0.21;0.4482758620689655;1.3103448275862069;2.4482758620689653;6.0
6773;3;6;247.0;0.06;0.3333333333333333;2.0;0.3333333333333333;1.0
6774;3;6;2270.0;0.05;0.2222222222222222;1.2962962962962963;0.5185185185185185;3.0
6775;3;6;2243.0;0.08;0.1724137931034483;1.5862068965517242;0.20689655172413793;0.0
6776;3;6;851.0;0.0;0.0;0.7647058823529411;0.4117647058823529;0.0
6777;7;6;398.0;0.21;0.5384615384615384;0.46153846153846156;0.3076923076923077;1.0
